91.399	92.622	92.484	93.685	93.869	95.401	94.892	96.462	91.214	92.603	92.462	93.663	93.922	95.142	94.921	96.509	86.045	93.824	86.266	87.336	87.725	89.594	89.132	90.859	32.367	NA	32.507	32.268	32.145	29.420	28.886	30.370	107.106	108.531	107.294	108.885	109.364	109.812	110.270	111.400	106.257	107.668	108.187	109.217	108.880	109.695	110.221	111.602	100.988	109.274	102.238	103.281	103.523	104.875	111.437	112.616	100.989	109.319	109.225	110.333	103.502	105.030	104.362	105.769	281.686	283.403	283.081	284.775	284.384	285.820	285.940	286.625	272.722	283.582	282.998	284.771	284.439	285.714	285.293	286.436	285.341	286.521	286.439	287.551	288.014	289.277	288.890	290.210	286.109	287.331	286.821	288.231	288.493	290.038	289.105	291.056	277.157	279.007	278.352	279.944	280.076	282.228	280.736	282.233	278.850	279.419	279.039	280.882	280.417	282.064	282.078	283.718	280.625	282.603	282.349	283.432	283.145	284.932	284.030	285.844	281.370	282.981	282.713	284.635	284.165	285.523	284.695	286.233
91.120	92.520	92.398	93.309	93.492	94.666	94.688	95.478	91.088	92.574	92.399	93.504	93.656	94.666	94.313	95.967	92.125	86.245	86.246	94.727	87.540	89.399	88.965	90.577	32.369	32.465	NA	32.236	32.413	31.082	31.523	29.812	105.564	106.594	106.505	107.842	108.780	109.667	108.886	109.488	105.553	107.648	106.493	107.946	108.910	109.726	108.833	109.482	107.281	101.587	101.258	102.672	109.633	110.936	110.627	105.072	100.421	108.675	108.460	102.664	102.722	103.693	110.644	111.774	280.220	282.037	281.204	283.057	282.820	284.206	283.581	284.314	280.489	282.757	282.428	283.452	283.546	284.178	284.092	285.265	284.122	285.876	285.737	286.930	286.889	288.212	287.279	289.324	285.290	286.619	286.150	287.691	287.789	289.001	288.580	290.423	276.360	277.817	277.501	280.038	278.973	281.207	280.081	281.489	277.069	278.593	278.151	279.696	279.685	281.874	280.917	282.125	279.742	281.268	281.077	282.366	282.545	283.981	283.317	284.874	280.532	281.819	281.623	283.054	282.980	284.520	284.106	285.480
92.319	93.677	93.401	94.793	95.040	96.485	96.283	97.311	92.248	93.703	93.338	94.789	95.071	96.506	96.040	97.354	92.764	87.351	94.748	96.863	97.251	97.696	90.560	98.141	32.498	32.101	32.190	NA	29.726	30.501	29.959	31.223	107.948	109.205	108.643	110.032	110.126	110.742	111.030	112.254	107.999	109.156	108.678	109.307	109.476	111.348	111.026	112.211	101.973	103.419	109.824	111.232	111.625	105.880	105.601	106.756	101.970	103.394	103.638	104.403	104.460	112.635	112.279	106.779	282.018	283.581	282.996	284.581	284.653	285.964	285.757	286.987	282.750	284.596	283.891	285.866	285.492	286.814	286.163	287.747	286.119	287.826	287.976	288.799	288.587	290.118	289.674	291.015	286.717	288.381	287.797	289.247	289.381	290.683	290.288	291.746	278.250	280.231	280.060	281.017	280.775	282.936	281.821	283.196	279.496	280.833	280.100	282.063	281.511	282.868	282.185	284.029	282.223	282.883	282.883	284.414	284.634	285.693	285.255	286.612	282.518	283.605	283.258	285.031	284.941	286.662	285.938	287.471
92.272	93.913	93.483	95.071	95.087	96.296	96.033	97.141	92.489	93.953	93.548	94.841	95.061	96.884	96.451	97.081	86.407	95.329	87.648	89.396	97.832	91.097	98.097	91.999	32.498	32.098	32.418	29.877	NA	30.858	30.517	31.255	107.143	108.352	108.709	109.317	109.404	110.665	110.613	111.606	107.517	108.274	108.105	109.509	109.636	110.866	110.374	111.765	102.075	109.821	103.298	110.850	111.007	112.209	105.492	106.538	101.878	109.786	103.319	110.821	111.030	112.255	111.891	106.547	282.260	283.813	282.779	285.143	284.384	286.780	285.478	286.391	283.281	284.502	283.399	285.142	285.480	286.834	286.730	287.278	286.120	287.208	286.812	288.858	288.458	289.322	289.567	291.300	286.303	288.003	287.888	288.820	289.701	291.015	289.612	291.159	278.731	279.984	279.025	280.508	280.980	283.400	282.097	284.374	278.096	280.100	280.217	282.016	281.595	283.745	281.878	284.348	281.637	283.324	282.323	283.630	283.447	285.176	285.274	285.997	282.506	283.909	283.729	284.495	284.402	286.842	286.117	286.941
93.662	95.241	94.969	96.539	96.855	97.722	97.517	98.162	93.519	95.200	94.980	96.576	96.859	97.770	97.638	98.152	88.205	97.359	96.769	97.675	91.093	92.417	98.222	98.372	32.216	29.453	31.282	30.426	30.862	NA	31.986	33.097	109.075	109.578	109.343	111.086	110.794	112.436	111.703	112.884	109.037	110.115	109.344	111.061	110.827	112.464	111.744	112.904	109.801	111.374	104.331	105.823	112.620	113.957	113.478	108.433	103.482	104.845	111.045	112.373	106.043	107.162	113.436	108.390	283.758	284.583	284.515	285.847	286.238	287.454	286.835	288.091	284.433	285.962	285.090	286.458	286.411	288.163	287.362	288.866	286.969	288.874	288.692	289.523	289.886	291.346	291.583	292.019	288.192	289.715	289.115	290.343	290.780	291.875	292.304	293.497	279.832	282.013	281.105	283.463	282.398	284.396	283.233	285.486	280.702	281.974	281.358	283.478	282.496	285.001	283.989	286.038	283.096	284.375	284.482	285.721	285.738	286.654	286.448	287.536	283.492	284.989	285.370	286.219	286.389	287.579	287.499	288.774
93.385	94.872	94.662	96.375	96.123	97.484	97.712	98.172	93.368	94.937	94.712	96.050	96.374	97.840	97.659	98.024	94.720	97.653	97.072	97.866	90.767	98.216	91.613	98.327	32.374	28.904	31.708	29.986	30.497	31.995	NA	32.648	108.748	109.695	109.076	110.330	110.765	112.190	111.384	112.554	108.763	109.381	109.493	110.298	110.509	112.093	111.377	113.019	103.253	111.019	110.635	111.974	105.750	106.957	113.135	114.269	103.225	104.379	110.626	111.954	105.792	113.416	113.125	114.275	283.333	284.336	284.760	285.545	285.536	286.911	286.850	287.991	283.488	285.487	285.131	286.255	286.164	287.762	287.445	288.769	286.367	288.646	288.534	289.535	289.757	291.639	290.583	291.555	287.454	289.492	289.083	290.718	290.483	291.198	291.601	293.051	278.782	280.346	280.508	282.214	282.423	284.344	283.056	284.875	280.199	281.987	281.302	283.008	283.458	284.112	283.821	285.787	283.124	283.785	283.937	284.936	284.788	286.881	286.164	288.292	283.009	284.320	284.219	285.949	285.502	287.650	286.415	288.387
94.878	96.668	95.499	97.429	97.202	98.178	98.162	98.853	94.773	96.668	95.486	97.350	97.302	98.177	98.190	98.801	95.883	97.815	90.605	98.065	92.018	98.402	93.033	94.222	28.535	30.346	29.856	31.220	31.384	33.208	32.697	NA	109.753	110.351	110.049	111.415	112.373	112.806	113.151	113.648	109.121	110.338	111.066	112.120	112.305	113.499	112.497	113.634	110.702	105.746	112.155	113.450	106.862	114.810	107.892	115.745	104.175	112.464	105.443	106.655	106.809	114.709	114.552	115.596	284.087	285.946	285.189	286.561	286.914	288.321	287.484	288.835	285.040	286.420	286.110	288.128	287.485	288.688	288.383	289.811	288.693	290.068	289.387	290.538	290.772	292.624	292.237	293.441	288.775	290.506	290.013	291.372	291.517	292.752	292.636	293.860	280.772	282.104	281.704	283.357	283.929	285.816	283.854	286.184	281.180	282.855	282.178	284.168	283.796	286.080	284.716	285.903	283.771	285.509	284.822	286.386	286.114	287.652	287.021	288.592	284.649	285.768	285.928	287.188	287.360	288.641	288.220	289.706
99.695	101.053	100.666	102.119	108.968	110.080	103.041	104.041	106.573	107.748	101.006	102.312	102.139	103.509	109.803	104.193	104.591	106.571	105.729	106.743	107.962	108.148	107.835	109.688	104.580	106.640	105.701	106.814	108.101	109.084	108.737	108.959	NA	32.210	32.242	32.395	32.415	32.109	32.296	28.584	91.229	86.045	92.176	86.299	86.450	88.112	94.684	89.360	89.857	91.190	91.021	92.252	92.427	93.490	93.498	94.451	89.916	91.452	91.017	92.152	92.395	93.586	93.534	94.754	277.365	279.386	269.475	271.176	279.669	273.502	272.307	282.267	278.041	270.501	270.300	272.200	272.720	281.962	281.271	274.726	272.056	282.652	281.866	274.785	274.901	284.329	276.027	277.555	272.431	283.281	282.626	275.638	284.305	277.056	284.610	286.119	282.580	284.751	274.861	276.106	275.635	278.128	277.306	278.198	283.103	276.048	275.142	277.121	286.950	278.079	286.925	278.764	276.949	278.889	278.840	279.859	280.098	290.282	280.988	282.775	287.353	288.422	287.416	290.050	289.792	291.087	290.196	283.284
101.398	102.913	102.411	103.888	110.089	105.176	104.753	106.060	101.344	102.974	102.452	109.964	103.745	111.323	104.730	112.183	106.701	107.762	107.884	108.920	109.025	109.983	109.702	110.529	106.277	107.684	107.810	108.849	109.008	109.643	109.326	110.918	32.266	NA	32.519	32.300	32.046	29.451	28.871	30.367	92.088	93.771	93.411	95.018	95.331	97.362	89.133	90.917	91.135	92.686	92.502	93.659	93.990	95.208	94.903	96.508	91.160	92.608	92.508	93.652	93.900	95.130	94.867	96.330	269.955	271.719	271.460	281.693	273.224	275.090	282.622	283.475	271.108	273.212	281.404	282.836	283.657	276.081	283.002	276.410	273.320	275.222	282.130	284.426	276.446	277.636	285.492	286.970	273.989	284.014	282.961	284.273	276.834	278.554	286.113	279.692	284.402	286.347	276.384	286.570	286.418	279.104	287.474	280.032	284.388	286.753	276.820	278.520	279.040	288.678	288.024	280.994	287.311	280.368	289.212	290.039	281.387	283.376	282.402	284.250	288.493	290.140	289.416	291.686	282.115	292.398	290.747	285.003
100.593	101.928	108.172	109.157	109.218	104.218	110.104	105.270	107.045	108.456	108.167	109.130	109.395	104.063	103.737	111.326	105.603	107.108	106.465	107.786	108.505	108.921	108.998	110.050	105.503	107.165	106.536	108.541	107.878	109.197	108.774	110.036	30.757	32.460	NA	31.842	32.294	31.083	31.557	29.808	86.010	86.291	92.790	87.382	94.900	89.376	96.992	90.557	91.062	92.514	92.407	93.249	93.558	94.929	94.623	95.898	90.960	92.422	92.415	93.352	93.404	94.920	94.276	95.916	277.817	281.082	279.453	280.620	272.328	281.652	281.475	282.577	269.666	271.150	279.865	281.208	273.818	282.076	281.875	283.024	272.759	274.441	282.295	283.666	283.921	277.124	276.398	277.995	281.677	275.042	274.692	284.554	276.298	285.980	277.449	287.160	282.975	285.276	285.651	276.715	285.547	278.069	277.768	288.093	283.577	276.318	285.107	277.387	277.211	278.939	278.358	288.669	278.385	288.430	287.747	280.627	280.328	282.401	290.548	291.936	278.971	280.709	279.783	281.575	290.274	291.234	290.829	292.284
102.269	109.679	109.431	110.826	110.923	106.287	105.819	113.115	102.313	109.709	109.437	104.655	104.726	106.107	105.830	112.961	107.216	108.698	108.801	109.273	109.568	110.657	110.528	111.695	107.463	108.663	108.907	109.470	109.378	110.737	110.520	111.504	32.391	32.078	32.198	NA	29.733	30.445	29.995	31.174	86.281	95.059	94.713	89.060	89.358	97.630	97.843	98.006	92.162	93.739	93.372	94.779	95.112	96.571	96.037	97.284	92.325	93.684	93.393	94.719	95.020	96.592	96.167	97.285	270.972	273.101	272.851	282.617	282.213	283.232	282.956	276.546	271.834	273.303	272.915	283.100	274.637	283.911	283.502	284.672	274.349	284.193	283.905	285.389	277.314	286.937	286.693	287.926	283.268	277.109	276.176	277.898	278.119	287.357	287.113	288.289	284.491	278.908	277.208	279.131	278.438	288.922	279.627	281.280	276.665	278.506	286.753	288.063	287.596	280.675	289.362	290.152	279.889	281.661	280.837	289.879	290.951	292.277	283.372	294.038	289.208	281.952	281.559	291.499	290.618	293.073	292.473	286.111
102.340	109.233	103.462	110.246	104.850	111.668	111.458	106.824	102.118	103.476	109.052	110.252	104.675	106.194	105.775	106.805	106.973	108.596	108.063	109.097	109.179	110.561	109.972	111.569	107.052	108.613	108.120	109.298	109.362	110.606	110.167	111.481	32.493	31.725	32.440	29.574	NA	30.886	30.522	31.284	93.627	95.279	94.864	89.520	97.783	98.008	98.044	98.159	92.432	93.761	93.544	95.024	95.151	96.258	96.474	97.705	92.522	93.750	93.641	95.031	95.060	96.260	96.404	97.713	270.882	273.337	272.396	282.109	281.763	275.439	274.701	276.763	279.744	273.137	280.604	274.448	282.475	276.233	283.840	277.308	274.194	283.851	283.763	284.027	285.296	286.438	285.961	288.121	274.905	284.525	276.009	285.504	277.772	279.203	286.761	288.057	276.296	277.891	277.414	286.869	278.598	280.029	279.719	280.659	276.471	278.657	286.287	279.732	279.673	288.085	280.468	281.537	287.949	289.528	289.696	282.460	282.388	291.921	290.485	292.763	280.465	281.823	281.665	283.437	283.372	285.061	291.973	292.495
109.500	110.810	110.526	111.978	112.082	107.521	107.163	108.524	103.587	105.121	104.653	111.884	106.313	113.212	112.996	108.514	108.504	109.527	109.354	110.683	110.709	111.986	111.731	112.956	108.818	109.558	109.339	110.681	110.751	111.959	111.662	112.848	32.308	29.391	31.171	30.447	30.869	NA	31.971	33.098	88.207	89.589	96.706	90.852	97.999	98.123	91.948	93.187	93.764	95.266	94.961	96.427	96.338	97.661	97.464	98.090	93.685	95.178	94.741	96.495	96.419	97.704	97.481	98.216	272.217	274.228	281.748	275.230	275.232	276.990	284.016	278.726	272.803	274.761	274.445	284.652	276.131	285.081	285.083	285.986	275.959	285.611	285.347	278.918	278.469	287.825	286.497	288.649	284.555	286.387	285.968	287.228	279.609	280.520	287.317	281.812	285.633	279.248	287.799	280.227	288.484	281.663	280.866	283.505	278.329	288.328	279.203	289.368	289.552	290.586	281.628	291.541	288.765	282.531	282.251	292.074	292.178	293.692	293.349	294.086	281.789	283.214	291.212	292.594	284.529	286.544	293.489	295.306
103.418	110.507	104.280	105.832	106.066	107.089	112.577	113.794	109.098	104.653	104.209	111.486	111.675	107.071	106.952	113.751	108.518	109.209	109.071	110.258	110.405	111.842	111.317	112.548	108.307	109.240	109.043	110.252	110.336	111.662	111.426	112.499	32.424	28.904	31.470	29.954	30.508	32.019	NA	32.643	94.659	89.116	89.040	97.805	98.192	98.190	98.284	92.919	93.428	94.889	94.607	96.370	96.376	97.733	97.615	97.971	93.355	94.892	94.196	95.915	96.171	97.423	97.550	98.133	271.708	282.317	281.714	283.212	283.112	276.621	275.972	285.325	280.140	274.203	273.899	276.177	276.144	277.147	276.110	278.218	275.150	285.230	284.901	278.421	286.311	287.382	287.007	280.676	275.742	277.814	285.341	285.841	286.564	280.594	280.227	290.005	277.151	279.174	287.267	279.829	279.685	281.025	280.993	290.629	286.229	287.893	286.490	280.521	280.077	281.706	289.719	292.181	280.756	282.591	281.937	290.864	283.645	285.342	284.510	293.882	281.752	283.657	290.909	284.477	292.855	286.282	293.261	286.833
110.461	111.914	105.670	106.993	106.956	114.261	113.907	115.254	104.408	111.929	105.752	106.861	106.963	114.315	107.988	108.977	109.065	110.258	110.355	111.437	111.756	112.965	112.641	113.932	109.315	110.361	110.358	111.684	111.922	113.092	112.913	113.913	28.616	30.361	29.825	31.203	31.266	33.105	32.665	NA	89.397	97.760	97.785	91.812	91.937	93.247	92.943	100.059	94.447	96.215	95.428	97.303	97.150	98.160	98.018	98.903	94.421	96.631	95.848	97.394	97.689	98.147	98.293	98.814	281.414	284.182	282.898	284.519	275.893	285.664	277.109	278.835	273.565	275.462	283.704	276.864	276.449	278.259	285.824	279.585	276.932	286.648	285.145	279.553	279.671	281.267	280.741	282.270	277.598	278.893	286.739	280.664	280.415	281.694	281.440	290.460	287.496	280.198	279.190	281.169	289.233	291.266	281.830	282.952	278.661	280.736	288.976	290.158	281.555	283.149	291.174	291.421	281.818	291.903	283.362	293.352	293.055	293.837	286.281	287.236	291.117	284.070	284.268	293.613	285.234	287.056	286.733	296.013
99.694	107.703	107.496	102.092	108.781	103.340	109.614	110.820	99.608	101.128	107.536	102.005	102.154	103.353	109.633	110.780	104.584	106.458	106.244	107.830	107.100	108.932	108.647	109.508	104.570	106.449	105.805	106.826	107.799	108.096	108.623	108.879	85.005	86.103	86.002	92.743	86.590	94.882	87.269	89.429	NA	32.401	32.311	32.355	32.452	32.251	32.403	28.562	89.923	91.397	91.005	92.393	92.703	93.825	93.330	94.437	89.967	91.395	91.022	92.243	92.462	93.752	93.328	94.768	268.494	270.292	269.119	271.140	279.415	281.109	280.434	282.132	268.593	270.734	279.330	280.447	271.663	280.630	281.441	282.586	271.989	273.368	282.117	275.001	283.209	276.165	283.850	277.435	272.423	274.301	273.237	284.196	283.755	276.748	276.412	277.668	273.187	274.929	283.872	275.951	285.315	286.585	276.806	278.770	282.845	275.442	284.748	276.513	285.817	278.129	286.638	278.633	285.155	287.820	287.744	280.076	288.879	290.113	281.286	290.866	286.828	279.463	279.005	280.506	289.810	282.311	290.270	291.857
107.769	108.959	108.754	109.909	110.021	111.279	110.942	106.008	107.725	102.937	108.733	103.478	110.031	105.161	104.705	106.159	106.707	107.616	107.302	108.821	108.883	109.644	109.779	110.643	106.755	107.683	107.764	108.985	109.044	109.968	109.756	110.626	86.092	93.882	86.236	87.317	95.292	89.608	97.643	97.753	32.390	NA	32.511	32.276	32.007	29.366	28.892	30.351	91.424	92.619	92.517	93.877	93.775	95.265	95.031	96.484	91.480	92.592	92.367	93.873	94.186	95.257	94.914	96.259	278.447	280.449	280.018	273.078	281.475	275.000	274.236	283.221	279.276	272.495	272.202	273.717	282.027	275.659	283.273	284.038	281.168	283.763	275.168	284.658	276.206	277.665	277.436	279.419	274.044	276.140	275.556	277.088	277.023	286.589	286.105	287.761	284.000	286.052	284.168	286.611	286.397	280.056	278.764	288.895	284.920	286.883	276.985	278.594	278.502	280.159	279.524	280.684	278.793	280.698	280.306	289.979	288.973	291.615	282.552	284.143	288.040	290.152	289.863	282.552	289.935	292.286	291.560	292.257
107.158	108.446	101.544	109.157	102.968	104.108	103.942	111.373	100.935	102.151	108.304	102.962	109.309	104.124	110.157	105.303	105.816	107.227	106.914	107.839	108.005	109.305	109.032	109.495	105.812	106.568	106.925	107.817	108.595	109.052	108.834	110.147	86.157	86.289	86.301	94.707	87.591	89.440	97.007	90.628	32.348	32.502	NA	32.247	32.441	31.169	31.520	29.838	91.073	92.476	92.418	93.281	93.552	94.985	94.276	95.465	91.027	92.430	92.458	93.499	93.566	95.051	94.367	95.959	269.263	270.616	279.170	272.078	280.625	281.583	281.387	275.067	278.601	280.931	271.208	273.442	281.460	282.344	274.279	283.182	280.963	282.739	273.922	284.018	282.799	285.248	284.952	286.059	281.774	275.292	282.927	275.957	275.722	285.281	285.519	279.132	274.326	285.116	284.742	276.887	276.992	287.468	286.674	279.282	275.287	285.669	275.723	277.556	286.502	288.345	287.262	279.774	277.963	279.463	279.325	289.945	290.064	290.967	281.935	283.867	278.842	280.310	280.063	290.234	281.149	283.446	290.675	284.185
102.456	103.537	103.537	110.776	104.835	106.212	111.850	106.987	108.582	109.847	103.555	104.706	104.786	106.141	111.793	113.030	107.280	108.970	108.879	109.260	109.591	110.949	110.553	111.681	107.562	108.713	108.816	109.526	109.612	110.981	110.362	111.590	86.267	87.308	87.293	89.103	89.334	90.943	97.839	98.054	32.464	32.096	32.157	NA	29.920	30.454	30.016	31.191	92.343	93.711	93.272	94.818	95.079	96.452	96.068	97.459	92.388	93.726	93.381	94.787	94.943	96.427	96.069	97.338	278.839	272.748	272.568	274.601	273.783	283.546	282.494	284.450	271.737	282.667	273.035	283.151	274.420	276.615	275.685	278.125	282.890	276.244	284.057	277.661	277.476	278.693	286.526	287.948	283.570	285.027	283.871	277.988	278.115	279.417	279.104	288.567	276.865	278.193	277.615	287.506	287.453	288.942	288.353	289.851	285.432	279.340	277.827	280.136	279.174	289.786	280.590	290.531	288.400	290.297	281.531	290.853	282.707	284.836	291.893	285.422	280.585	290.132	281.801	290.645	291.666	285.357	284.483	285.996
102.105	103.578	103.383	110.314	110.471	106.271	105.720	112.589	108.334	109.302	109.088	110.283	104.782	106.042	111.376	112.630	107.189	108.282	108.375	109.251	109.460	110.628	110.234	111.332	107.121	108.656	108.088	109.107	109.195	110.472	110.144	111.512	93.553	87.675	87.605	97.234	97.765	97.999	90.737	98.203	32.484	32.028	32.417	29.658	NA	30.867	30.494	31.267	92.394	93.861	93.529	94.845	95.161	96.265	96.037	97.730	92.611	93.940	93.668	94.904	95.106	96.372	96.543	97.777	279.190	281.217	280.105	274.042	273.810	283.605	283.039	276.628	279.953	273.809	273.096	274.422	274.454	276.094	283.667	277.456	274.157	276.480	283.057	277.528	284.915	279.030	278.099	279.671	275.145	276.812	276.368	285.040	278.248	287.303	278.995	280.287	276.304	277.866	277.899	287.141	278.602	280.060	287.774	280.865	285.158	287.094	277.885	287.564	279.531	289.318	288.711	281.719	279.742	289.909	289.619	282.695	282.458	291.351	283.550	292.944	288.526	290.675	281.883	283.557	290.975	292.650	291.273	293.538
109.494	105.093	104.698	111.862	106.339	107.535	107.183	108.641	109.508	110.910	110.581	106.200	106.312	113.291	112.920	114.151	108.553	109.620	109.369	110.677	110.764	112.025	111.695	112.881	108.556	109.616	109.300	110.628	110.795	112.001	111.756	112.957	95.126	89.616	96.829	97.715	91.091	98.174	98.197	93.222	32.312	29.404	30.944	30.437	30.851	NA	32.019	33.111	93.507	95.213	94.672	96.475	96.352	97.701	97.502	98.115	93.714	95.170	94.975	96.529	96.961	97.735	97.845	98.248	280.708	274.264	273.809	275.360	283.149	276.948	276.055	285.537	281.710	274.790	282.364	284.105	283.937	285.297	276.676	278.571	275.668	277.929	278.000	279.190	286.510	280.309	280.037	288.861	284.642	278.491	285.937	279.720	287.099	280.854	288.057	281.660	285.645	287.887	287.393	280.358	280.271	281.676	281.290	282.432	286.360	279.871	288.041	289.312	280.616	290.936	290.290	291.654	281.443	290.834	290.471	284.175	292.207	285.721	293.966	287.119	281.957	283.631	291.175	284.758	292.758	294.235	293.500	295.094
103.622	104.725	104.235	105.825	111.694	112.915	106.678	108.081	109.101	110.446	104.242	105.797	105.925	107.131	106.809	108.159	108.354	109.302	109.094	110.293	110.438	111.730	111.417	112.583	108.376	109.259	109.056	110.297	110.454	111.687	111.343	112.579	87.302	89.130	97.006	90.508	98.060	98.234	91.608	92.944	32.384	28.894	31.587	29.957	30.505	31.984	NA	32.659	93.476	94.920	94.255	96.360	96.410	97.496	97.645	98.293	93.381	94.889	94.431	95.936	96.352	97.792	97.656	98.041	271.750	282.159	273.502	274.972	282.675	284.343	276.040	285.291	272.608	282.915	273.977	284.032	283.635	277.856	284.529	286.735	283.779	277.278	276.629	278.716	286.336	287.357	287.133	287.581	275.911	285.860	277.254	279.243	286.797	288.374	287.716	289.243	277.176	287.870	287.062	288.290	288.033	281.284	289.344	281.990	285.987	280.549	288.120	280.637	280.319	281.804	281.812	282.870	280.760	290.402	290.210	292.090	291.536	285.423	284.724	293.947	281.807	283.071	289.914	292.732	292.595	286.549	285.176	294.616
104.685	112.019	105.804	112.875	113.048	114.215	113.984	115.147	110.486	106.002	105.711	106.961	107.026	108.277	114.143	115.127	109.138	110.627	110.388	111.811	111.466	113.009	112.845	113.615	109.082	110.306	110.043	111.641	111.482	113.060	112.630	113.615	95.874	90.852	90.568	98.042	92.000	93.342	98.448	94.212	28.574	30.349	29.794	31.189	31.230	33.085	32.658	NA	94.752	96.662	95.447	97.340	97.705	98.145	98.052	98.863	94.447	96.678	95.924	97.324	97.711	98.153	98.173	98.795	272.926	283.682	274.531	284.593	284.485	278.148	284.352	286.831	273.856	275.725	283.654	276.878	276.656	278.955	277.582	279.458	284.859	278.460	286.102	287.617	287.683	288.701	280.823	289.803	277.222	287.178	278.253	288.365	280.230	281.989	289.141	290.662	278.329	279.937	287.162	281.292	280.653	290.993	290.708	292.000	279.193	289.627	280.300	290.938	290.103	291.585	282.466	292.894	290.305	292.081	291.568	284.975	292.399	286.685	285.546	287.269	291.443	284.276	284.170	286.127	292.944	287.600	294.758	288.045
105.353	106.074	106.455	108.056	108.338	108.255	108.013	109.765	105.222	106.016	106.546	107.143	107.231	109.194	108.102	109.035	99.398	107.601	100.483	101.731	108.620	109.694	109.420	103.622	99.423	107.566	107.377	108.519	108.743	103.251	102.757	110.525	89.990	91.191	91.028	92.267	92.605	93.549	93.386	94.817	89.972	91.470	91.083	92.254	92.592	93.552	93.362	94.492	NA	32.368	32.388	32.451	32.422	32.262	32.341	28.596	85.069	92.091	86.056	86.293	86.357	88.132	87.321	95.882	275.571	275.606	277.009	277.449	277.872	278.685	278.711	279.661	276.322	276.372	275.934	278.472	277.653	279.352	279.360	280.725	278.663	280.235	279.937	281.060	281.166	281.746	281.364	282.588	278.070	280.363	279.871	281.960	280.926	282.596	282.438	283.268	280.362	280.875	281.323	283.489	281.915	282.969	282.546	286.006	279.454	282.604	281.841	282.687	282.454	285.667	283.064	284.614	283.165	285.459	284.344	287.137	285.506	287.134	286.298	288.861	284.780	286.579	284.825	287.884	287.387	288.847	287.228	288.879
106.560	108.413	107.597	108.943	108.945	110.257	109.991	110.786	106.447	108.058	108.101	108.986	109.198	110.223	109.622	110.801	101.000	108.809	108.588	109.700	109.773	111.097	104.337	105.726	101.015	108.822	108.574	103.335	103.519	111.117	104.348	111.959	91.464	92.563	92.443	93.807	93.961	95.128	95.000	96.488	91.202	92.670	92.559	93.703	93.778	95.255	94.941	96.287	32.413	NA	32.497	32.261	31.999	29.399	28.901	30.347	92.180	93.846	93.399	95.103	87.585	97.397	89.245	90.974	277.124	277.147	278.422	278.613	279.691	281.498	279.317	282.171	276.246	277.701	277.573	280.264	279.022	281.783	281.708	282.691	279.095	280.624	281.840	283.134	281.934	283.380	282.595	284.040	279.843	281.326	282.408	283.763	283.727	285.610	283.606	284.839	282.849	282.362	283.533	283.497	283.365	284.834	284.915	285.500	282.749	283.488	284.259	284.210	285.366	286.898	286.421	288.826	286.228	286.012	285.558	288.936	286.979	288.799	287.824	290.663	285.707	288.424	286.215	289.553	287.814	290.383	288.607	291.567
105.915	107.602	107.115	108.000	108.840	109.496	109.268	110.326	105.817	107.467	106.757	108.666	108.773	109.529	108.939	110.340	100.426	101.604	108.084	102.677	109.140	110.255	109.979	111.161	100.431	101.642	101.270	102.626	102.898	110.360	109.943	105.056	91.120	92.569	92.472	93.320	93.622	95.030	94.322	95.490	91.004	92.415	92.408	93.312	93.482	95.020	94.694	95.473	32.350	32.509	NA	32.277	32.466	31.269	31.352	29.823	86.053	86.278	92.588	94.785	87.659	89.519	89.056	90.602	275.241	277.804	277.714	278.831	269.201	279.271	278.676	280.671	276.828	278.391	277.044	278.393	278.927	279.993	280.092	281.019	279.926	280.644	281.114	282.576	281.609	283.299	283.527	284.220	280.466	281.147	281.856	283.073	283.366	283.882	283.247	285.021	280.473	282.950	281.024	284.415	283.477	283.957	283.661	285.818	281.266	282.317	281.903	283.225	283.744	286.901	286.045	285.470	283.607	286.031	285.825	287.630	287.034	288.866	289.286	288.898	285.659	286.966	285.866	287.718	287.249	290.209	289.663	291.556
107.851	109.038	108.646	109.465	109.823	110.900	110.570	111.963	107.796	108.806	108.791	109.736	109.629	111.212	110.571	112.012	108.482	109.531	109.354	104.412	104.378	111.946	111.877	112.919	108.430	103.385	109.265	104.405	104.374	105.868	105.570	112.801	92.224	93.712	93.282	94.826	94.885	96.471	96.375	97.352	92.213	93.889	93.409	94.792	94.921	96.482	96.260	97.390	32.475	32.001	32.218	NA	29.826	30.478	30.064	31.187	92.754	95.062	87.373	89.102	97.277	90.927	90.562	98.096	277.733	278.181	277.795	279.105	279.237	280.983	281.784	281.583	278.570	279.108	278.533	281.051	280.007	282.369	280.735	283.598	280.248	283.497	281.659	283.127	283.293	286.173	285.375	286.046	282.739	284.207	282.474	283.932	285.045	285.698	285.983	286.848	281.249	283.538	283.197	286.003	284.891	285.782	286.165	287.854	284.579	286.484	285.233	285.628	285.200	287.502	286.353	286.862	285.210	288.035	288.274	288.737	290.032	291.240	289.536	292.206	287.820	289.272	287.578	290.408	288.767	290.933	290.043	290.690
